"GEOID","total.people.publicassistance","total.people.insured","pop.density","total.males","total.females","race.white.NHL","race.black.HL","race.nativeamerican.HL","race.asian.HL","race.pacificislander.HL","race.other.HL","race.multiracial.HL","race.hispanic.alone","income.none","income.less.25k","income.between.25kand49.9k","income.between.50kand74.9k","income.greater.75k","education.less.highschool","education.highschool.or.associates","education.undergrad.or.grad","age.under17","ages.between.18and24","ages.between.25and44","ages.between.45and64","ages.over65","trd_count","places_population","CSMOKING_CrudePrev","COPD_CrudePrev","CHD_CrudePrev","CASTHMA_CrudePrev","STROKE_CrudePrev","DEPRESSION_CrudePrev","smoking_counts"
"41047002303",906,8206,2.3370388185964,3819,4387,5968,0,100,283,527,593,392,1160,983,1978,1225,889,963,428,3029,1734,2539,476,1655,1855,1086,4,7142,16.2,6.8,5.9,11.2,3,25,1157
"41047001401",282,6124,0.812960534376854,2819,3305,4512,21,42,110,138,366,370,1132,212,2019,1592,766,589,486,3030,1293,987,328,1050,1703,1340,4,5666,14.5,7.2,7,10.6,3.3,23.6,822
"41047002502",183,5459,0.0459851787176856,2800,2664,3455,0,38,5,0,349,289,1773,583,1531,1299,523,567,810,2265,591,1217,581,739,1522,1052,6,5033,17.7,9.4,8.6,11,4.3,24,891
"41047002304",261,6625,1.20130204477443,3384,3277,5262,77,0,205,0,378,293,918,493,1393,1492,785,1294,206,2456,2114,1495,390,1240,1948,1261,3,5081,11.9,5.3,5.4,10,2.5,22.7,605
"41047010202",498,8021,0.133902965440681,4278,3743,5103,15,53,311,12,758,338,2433,994,1807,1611,950,914,906,3532,1072,2192,319,1651,2340,1122,7,7205,16,6.2,5.5,10.5,2.7,23.9,1153
"41047010307",29,6624,0.88982576126179,2724,3900,4876,138,98,225,0,87,594,1077,555,2503,1503,660,452,781,3188,1300,1108,247,599,1838,2604,2,5724,12.1,8.6,9.5,10,4.4,21,693
"41047010201",127,2622,0.0485531827435322,1357,1265,2007,47,19,40,0,169,191,460,289,641,577,377,299,217,1241,506,475,183,412,940,555,3,2632,13.5,5.7,5.5,10.1,2.5,23.1,355
"41047000502",1111,6768,4.07917765495272,3667,3176,3303,87,90,55,0,1112,1224,3077,869,1956,1442,338,97,1190,2225,337,2424,667,1537,984,614,6,5326,23.1,8.2,5.9,12.5,3.4,26.6,1230
"41047000501",607,3475,1.53089529184063,2061,1496,1570,1,4,96,0,730,232,1732,640,956,851,278,70,580,1408,227,920,422,719,607,396,1,3733,22.7,9,6.7,12.4,3.7,26.5,847
"41047002102",325,6520,2.13356403340775,2917,3648,5786,99,175,189,0,134,57,424,610,1987,1353,1185,634,274,2849,1478,1255,709,1107,1684,1761,7,6067,14.9,6.7,6.3,10.8,3.1,24.2,904
"41047002202",234,6411,1.60299636630976,2988,3466,5285,0,6,144,0,126,688,782,536,1613,964,801,1244,47,2187,2241,1493,486,1167,1662,1147,2,6230,11.3,5.3,5.5,10.1,2.6,22.5,704
"41047002101",7,2237,2.17666925817127,1012,1225,1722,40,3,21,106,9,45,315,59,862,714,294,120,65,1054,487,248,383,472,410,545,4,2256,13.7,5.9,5.9,10.6,2.9,24,309
"41047002201",171,2588,1.90431304146102,1190,1404,1851,117,4,13,0,378,113,212,142,463,693,371,466,43,981,908,531,131,287,686,735,0,1977,10.2,5.1,5.7,9.7,2.5,21.6,202
"41047001402",349,6001,2.54343570227604,2697,3304,4523,1,22,59,0,124,378,1104,511,1936,1216,753,473,325,2622,991,1339,724,1279,1520,824,4,5662,15.4,6.4,5.6,11,2.8,24.8,872
"41047001701",693,6261,2.50763027546945,2951,3354,2926,103,111,160,0,359,196,2963,474,2366,1577,375,340,892,2931,456,1529,497,1320,1603,1107,15,6409,18.5,7.6,6.3,11.5,3.4,24.9,1186
"41047000900",807,5678,2.80943660665974,3017,2710,4275,282,15,360,84,40,288,572,669,1611,1529,613,407,240,2524,998,1187,778,1372,1299,489,4,5782,18.5,7.1,5.3,12.2,2.8,26.9,1070
"41047001802",943,9171,1.07168122958097,4219,4952,4242,77,138,507,359,1033,1033,3536,724,2417,2254,983,745,1047,3841,772,2383,1128,2307,1937,1026,4,7686,19,6.5,4.9,11.7,2.7,26,1460
"41047000300",431,4576,2.31312399628566,2281,2295,2842,19,15,236,21,401,658,1106,349,1725,948,453,188,656,1863,677,1002,378,1146,1180,513,6,5014,19.9,7.3,5.3,12,2.9,26.6,998
"41047001601",873,7635,1.86406883734703,3662,3993,4027,224,33,472,0,615,489,2937,603,2654,1342,782,767,892,3126,921,1819,897,1470,1983,1241,6,7668,17.4,7.7,6.7,11,3.4,24,1334
"41047001100",146,5064,2.195054711652,2289,2775,4370,55,47,55,0,24,273,285,357,1442,1086,760,475,118,2052,1371,1039,484,1212,1346,890,7,4543,12.4,5.8,5.8,10.5,2.8,23.4,563
"41047001702",874,5655,2.90230570120395,2563,3244,2775,32,133,106,0,555,508,2668,688,1751,1298,487,232,794,2512,486,1649,366,1180,1559,865,0,5564,17.3,7.5,6.7,11,3.5,23.8,963
"41047001801",702,6522,1.94105809933063,3168,3370,3033,69,38,136,221,1087,1073,2981,651,2536,1165,462,236,1181,2681,347,1717,612,1045,1919,930,13,6501,19.1,8,6.6,11.5,3.5,25.3,1242
"41047010304",560,6699,1.96310453597589,3340,3359,1818,0,52,3,0,2227,602,4695,565,2292,1254,434,390,1152,2161,594,1954,838,1497,1603,383,4,6435,17.6,5.3,4.4,10.7,2.4,23.3,1133
"41047010701",544,8167,0.569862210186639,4124,4099,6265,189,48,93,0,33,321,1334,496,1980,2475,864,548,620,4339,730,2045,489,1900,1625,1400,11,7922,18.3,7.7,6.4,11.3,3.3,25.7,1450
"41047010801",177,5787,0.0516605229298271,2974,2813,4966,18,92,66,58,29,163,413,644,1429,716,909,901,291,2972,666,1511,347,897,1545,919,5,5992,18.7,7.8,6.4,11.3,3.2,25.7,1121
"41047002600",66,1904,0.0202001643194249,934,970,1673,0,0,9,0,24,32,190,98,505,334,273,268,109,797,365,486,147,270,536,379,0,2030,13.4,6.1,6.1,10.2,2.8,23.3,272
"41047010303",245,4658,0.0474973328557812,2531,2135,1728,3,8,19,0,1368,283,2741,448,1671,819,512,259,875,1729,319,1251,492,791,1091,749,4,4834,16.2,5.5,4.8,10.4,2.4,23.5,783
"41047010503",414,4081,0.0407703623973231,1929,2180,3586,32,37,4,0,119,225,330,452,1107,819,367,471,265,1560,796,1155,333,725,1050,563,10,3870,17.8,8.6,7.4,11.3,3.7,25.2,689
"41047001501",565,4736,1.58137904800981,2291,2519,3888,10,19,25,0,120,181,763,560,1233,772,641,570,155,1753,1015,1465,422,706,987,874,4,4408,13.1,6.2,6.1,10.5,2.9,23.5,577
"41047001503",669,5537,2.43271683881889,2694,2889,3101,75,55,0,0,840,505,2112,682,1852,1313,351,171,659,2421,351,1465,687,1038,1096,685,8,5410,19.4,7.5,5.9,11.7,3.2,25.8,1050
"41047010305",495,4456,0.257775234059273,2542,2297,1469,100,46,35,0,919,79,3208,828,1246,984,339,174,713,1655,228,1613,630,913,974,366,8,4509,16.5,5.7,4.9,10.7,2.5,23.6,744
"41047010502",407,6464,1.31469819181806,3183,3294,5500,0,15,0,0,262,343,619,342,1946,1343,746,724,150,3020,1143,1599,565,1350,1539,1043,3,5953,13.9,5.5,5.1,10.4,2.5,24.1,827
"41047010702",480,7451,0.0387182361030592,3685,3803,5856,0,29,92,112,55,1033,779,757,1943,1396,918,1002,604,3687,1069,1779,349,1350,1823,1702,2,6375,14.7,7.7,7.8,10.5,3.7,23.4,937
"41047000600",479,5095,2.38983987369262,2638,2457,3307,62,93,10,0,493,454,1524,493,2005,929,423,479,507,2273,747,1026,542,1482,1137,567,5,4858,17.7,7.4,6.1,11.3,3.2,25.2,860
"41047002301",199,3571,0.98185506543455,1855,1716,2815,3,21,73,39,46,339,514,370,802,691,615,461,133,1572,879,719,268,878,844,501,0,3176,14.3,5.4,4.7,10.7,2.3,24.7,454
"41047001200",183,3708,1.64280353545103,1729,1990,3068,36,10,107,0,50,323,333,293,1194,797,474,497,98,1713,1063,585,260,848,1042,718,2,3593,13.7,6,5.6,10.7,2.7,23.8,492
"41047001502",792,5924,2.05703515398075,2976,2948,3619,0,96,124,0,553,956,1768,500,1802,1294,566,323,478,2416,645,1576,809,1305,1437,545,5,5253,17.8,6.4,5.3,11.1,2.7,25.2,935
"41047001703",278,5339,0.707210307111131,2559,2792,3253,3,12,162,0,542,790,1818,685,1724,1066,848,276,579,2390,583,946,853,853,1478,1001,0,4337,16.8,7.5,6.8,10.9,3.3,24.2,729
"41047002800",133,4513,0.0929427267476625,2203,2310,3783,71,31,32,0,26,298,454,434,1172,792,594,681,181,1598,1381,1050,303,827,1201,852,0,3852,13.7,6.8,6.6,10.5,3.1,23.3,528
"41047001603",334,8219,0.632445743207187,3705,4519,3264,225,246,355,0,1189,804,4009,648,2593,1364,1204,517,1227,3577,473,2121,826,1522,1919,1455,0,6964,17.4,6.7,5.6,11,2.9,24.7,1212
"41047000400",685,5694,1.11740484828787,2861,2846,3340,0,63,43,0,445,659,1982,898,1594,1517,415,185,904,2163,477,1374,789,1407,1122,583,8,4938,22,7.8,5.7,12.3,3.1,26.9,1086
"41047010400",104,5008,0.0647077694103582,2440,2710,3463,24,0,67,17,437,708,1247,819,1366,1027,627,414,686,2182,867,1127,288,1035,1129,1128,2,4999,15.2,7.6,7.3,10.6,3.6,23,760
"41047001300",254,4346,0.672545336954636,2228,2126,3633,153,8,54,64,82,191,359,244,1023,826,637,803,43,1458,1647,926,280,1003,1029,755,5,4040,11.7,5.1,4.9,10.5,2.3,23.7,473
"41047001803",39,2913,0.30158077743942,3026,1722,3007,74,37,98,64,39,902,1023,405,2528,994,261,206,512,2499,431,412,894,1260,1078,727,1,5293,19.1,6.8,5.9,10.6,3,23.8,1011
"41047010600",121,2423,0.0022051982772061,1271,1157,2083,61,9,5,0,88,168,28,131,1071,400,273,271,114,1497,413,332,72,369,835,579,7,2471,16.2,7.5,7.1,10.5,3.3,23.5,400
"41047010501",256,6395,0.0162138551168634,2960,3454,5680,0,17,133,14,9,521,384,786,1861,687,723,885,730,1961,1302,1753,668,929,1661,1042,2,5436,14.7,6.9,6.5,10.6,3.1,23.9,799
"41047010100",123,1447,0.011772155566945,780,667,956,0,2,51,0,44,249,416,184,393,199,117,219,80,550,304,383,130,211,334,183,1,1477,13.7,5.5,5.4,9.9,2.6,22.3,202
"41047002400",121,4079,0.14130873505887,1934,2145,3021,0,0,47,0,322,388,555,391,779,540,483,942,92,1098,1658,1103,128,499,1063,838,1,3435,9.6,5.1,5.8,9.6,2.5,21.1,330
"41047001000",726,4528,0.336951160497939,2312,2317,2756,143,17,61,143,418,487,1283,609,1323,1122,418,163,401,2326,367,1151,384,1449,993,460,9,3870,20.1,8.8,7.2,11.9,3.8,25.9,778
"41047010802",641,6683,0.0630628784173748,3443,3240,5102,49,33,20,0,540,617,1348,620,1664,1223,814,692,676,2577,958,1972,500,1238,1415,927,4,6040,17,7.3,6.4,10.9,3.1,24.7,1027
"41047000200",29,3646,1.27022340529117,1915,1829,2760,61,59,174,19,62,475,348,285,1601,823,425,437,102,1050,1143,218,1231,619,871,499,5,3233,11.2,4.5,4,11.3,2,25.5,362
"41047010306",1601,10105,5.01098737048558,4649,5515,3209,15,76,11,0,2352,1366,6645,1070,2985,1934,716,535,2770,2410,924,3662,398,1848,1557,1581,7,9060,19.6,9.5,8.4,11.6,4.6,24.2,1776
"41047002501",319,9266,3.60906497379776,4331,4955,7133,0,27,119,28,222,1063,1748,685,2164,1968,866,1596,515,3315,2283,2426,747,1811,2185,1477,1,8868,12.3,5.2,5.2,10.1,2.5,23.1,1091
"41047001602",1427,11046,7.85758188220799,5718,5328,4093,308,324,128,0,1444,1661,5611,1449,3470,2274,563,273,1660,3331,920,3457,1678,2907,1756,591,3,9286,20.3,7,5,12.1,2.9,26.3,1885
"41047001604",2034,9544,5.70247484568117,5210,4461,3932,60,104,313,971,1297,557,3988,1037,2957,2160,512,411,1367,3187,539,3178,1400,1909,1651,832,18,8364,20.8,8.3,6.5,11.9,3.6,25.6,1740
"41047000701",589,6299,5.01555188447527,5794,3107,4623,412,62,174,192,720,1262,2884,1512,4092,1315,406,147,1111,4641,801,1648,700,2558,1956,1007,9,8135,24.7,8.8,6.7,11.2,3.7,24.5,2009
"41047002700",162,8921,0.171851833571158,4873,4048,8021,0,35,161,0,44,483,322,666,2370,1595,1138,1656,290,4201,2114,1693,623,1050,2785,2285,4,8510,13.3,6.6,6.7,10.2,3,22.8,1132
"41047002000",342,10483,3.28926854944426,5713,4859,7749,192,19,1072,122,67,411,1111,1261,2468,2203,1045,1611,580,3359,3371,2655,607,2588,2711,1720,8,9208,14.7,6.3,5.9,10.8,2.9,24.2,1354
